RK,Team,R,HR,RBI,SB,AVG,K,W,ERA,WHIP,SVHD
1,Neutered Sea Monkeys,12,10,11,11,10,12,9,7,9,4
2,Al - Stars,3,6,8.5,8,7,9,12,11,10,7.5
3,Schmita Kuff,11,12,10,5,4,11,10,8,5,5
4,Grand Lake Soxx,7,7,2,10,8,3,8,12,8,10
5,Salem Ducks,9,8.5,12,4,11,4,3,2,3,12
6,The Donaters,2,11,6,3,1,8,11,10,12,2
6,Pantry Pride Phillies,10,3,1,7,3,10,7,5,11,9
8,Jeter's Gems,5,3,4.5,12,5,7,5,9,4,3
9,Kitty Kats,1,3,8.5,6,2,6,6,6,6,11
10,Ding-a- lingers,6,8.5,4.5,2,9,2,2,4,7,6
11,Cincinnati Kid,8,1,3,9,6,1,1,3,2,7.5
12,Cloud Nine,4,5,7,1,12,5,4,1,1,1
