RK,Team,R,HR,RBI,SB,AVG,K,W,SVHD,ERA,WHIP
1,Pantry Pride Phillies,11,8,9,3,12,12,9,5,8,11
2,The Donaters,8,11,12,5,3,10,7,11,9,4
3,Ding-a- lingers,6,4,4,11,10,4,6,7,12,12
4,Cincinnati Kid,4.5,10,7,7.5,11,5,3.5,12,7,8
5,Schmita Kuff,10,9,8,4,7,9,3.5,3,11,10
6,Salem Ducks,9,6,11,1,8,2,12,9,6,7
7,Jeter's Gems,12,12,10,9,6,7,1,6,4,3
8,Cloud Nine,2,2,3,12,9,8,8,4,10,9
9,Al - Stars,4.5,5,5,7.5,5,3,3.5,8,5,2
10,Kitty Kats,1,3,1,2,2,6,10,10,3,6
10,Black Swamp,3,1,2,6,1,11,11,2,2,5
12,Neutered Sea Monkeys,7,7,6,10,4,1,3.5,1,1,1
