RK,Team,R,HR,RBI,SB,AVG,K,W,ERA,WHIP,SVHD
1,Al - Stars,894,220,876,144,0.2739,1221,81,3.062,1.112,101
2,Teeter Twatters,895,268,873,129,0.2784,1187,85,3.583,1.192,58
3,Cincinnati Kid,818,205,826,115,0.278,1237,72,2.955,1.121,99
4,Kitty Kats,833,246,770,98,0.2606,1296,72,3.687,1.156,116
5,Cloud 9,844,198,801,146,0.2707,1042,82,3.679,1.262,29
6,High Yellers,842,193,740,171,0.2686,1045,62,3.868,1.209,93
7,Schmita Kuff,875,192,797,74,0.2804,1043,81,4.007,1.248,36
8,Ding-a- lingers,867,231,848,109,0.2641,995,66,4.086,1.248,81
9,Al's Disciple,733,172,787,81,0.2616,1139,65,3.536,1.233,82
10,The Donaters,692,204,725,40,0.2542,1154,90,3.235,1.241,0
